Usia,Jenis_Kelamin,Kota,Pendapatan,Kategori_Produk,Harga_Satuan,Jumlah,Diskon_Persen,Metode_Pembayaran,Membership,Rating,Lama_Pengiriman_Hari,Kode_Promosi,Total_Pembelian
20.0,Laki-laki,Palembang,8115796.0,Fashion,1511628.0,2,20.0,COD,Bronze,4.4,5,HEMAT15,2375930.0
53.0,Perempuan,Pekanbaru,9559988.0,Elektronik,2971806.0,2,15.0,Kartu Kredit,Bronze,2.7,2,TANPA_PROMO,4230548.0
31.0,Perempuan,Padang,3767951.0,Fashion,3080677.0,1,0.0,COD,Gold,3.9,5,TANPA_PROMO,2539476.0
25.0,Laki-laki,Palembang,7670217.0,Olahraga,2787357.0,7,15.0,Transfer Bank,Gold,2.9,7,GRATISONGKIR,10447610.0
33.0,Laki-laki,Palembang,7493105.0,Fashion,558822.0,1,10.0,Kartu Kredit,Bronze,2.5,2,HEMAT15,1513269.0
38.0,Laki-laki,Pekanbaru,7546086.0,Olahraga,2430474.0,3,15.0,Transfer Bank,Platinum,4.4,2,HEMAT15,5140220.0
50.0,Laki-laki,Palembang,5406910.0,Fashion,2108741.0,7,5.0,E-Wallet,Bronze,2.9,8,HEMAT15,8203804.0
50.0,Perempuan,Padang,7630350.0,Fashion,706938.0,3,20.0,E-Wallet,Platinum,2.8,2,PROMO10,2590124.0
21.0,Laki-laki,Padang,4522640.0,Rumah Tangga,3230751.0,6,15.0,COD,Gold,4.7,6,GRATISONGKIR,10405010.0
53.0,Perempuan,Bengkulu,3419526.0,Elektronik,4760172.0,3,20.0,E-Wallet,Gold,3.5,7,GRATISONGKIR,6905219.0
41.0,Perempuan,Jambi,11358591.0,Rumah Tangga,4365572.0,4,15.0,E-Wallet,Platinum,3.8,4,GRATISONGKIR,10474872.0
54.0,Perempuan,Bengkulu,4040521.0,Rumah Tangga,1194098.0,1,25.0,E-Wallet,Silver,2.5,4,GRATISONGKIR,1158526.0
39.0,Laki-laki,Jambi,4887532.0,Fashion,1898873.0,1,25.0,Kartu Kredit,Bronze,2.6,5,GRATISONGKIR,1042564.0
24.0,Perempuan,Pekanbaru,8898798.0,Olahraga,2121079.0,1,0.0,E-Wallet,Silver,3.3,7,GRATISONGKIR,2258922.0
38.0,Laki-laki,Padang,8546557.0,Elektronik,659952.0,3,5.0,COD,Gold,4.7,1,PROMO10,2776814.0
35.0,Laki-laki,Padang,5876706.0,Rumah Tangga,3977366.0,6,25.0,Kartu Kredit,Silver,2.6,4,HEMAT15,10820209.0
40.0,Laki-laki,Jambi,11280253.0,Kecantikan,1166424.0,1,25.0,Kartu Kredit,Silver,3.5,1,TANPA_PROMO,2117764.0
19.0,Laki-laki,Jambi,3233657.0,Fashion,3541659.0,1,25.0,Kartu Kredit,Gold,3.0,3,PROMO10,2006781.0
49.0,Perempuan,Bengkulu,3502052.0,Elektronik,305899.0,5,20.0,Transfer Bank,Silver,4.8,1,PROMO10,1521063.0
19.0,Perempuan,Padang,11464265.0,Olahraga,488350.0,2,10.0,Transfer Bank,Bronze,4.3,6,PROMO10,1972610.0
24.0,Laki-laki,Jambi,7150211.0,Olahraga,2377404.0,6,0.0,E-Wallet,Bronze,2.9,2,TANPA_PROMO,8838907.0
20.0,Perempuan,Bengkulu,4259037.0,Elektronik,3008732.0,2,15.0,COD,Gold,2.6,5,TANPA_PROMO,3778502.0
42.0,Laki-laki,Bengkulu,6765424.0,Kecantikan,1223288.0,6,5.0,Kartu Kredit,Gold,3.8,2,HEMAT15,5466115.0
48.0,Perempuan,Palembang,9498937.0,Fashion,3023017.0,2,25.0,Transfer Bank,Bronze,3.0,6,HEMAT15,3561065.0
18.0,Perempuan,Bengkulu,10895709.0,Kecantikan,2196594.0,2,20.0,Kartu Kredit,Silver,3.1,1,PROMO20,3769400.0
